title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
Champagne Brut,4,37.99,13495,fr,France,Champagne,Laurent-Perrier,/wineries/domaine-laurent-perrier/wines/2110015-champagne-brut-8888,/wineries/domaine-laurent-perrier/wines/2110015-champagne-brut-8888,//images.vivino.com/thumbs/dLtzJQmBQPOnN4OaCqKi7g_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Whispering Angel Côtes de Provence Rosé,4,22.99,13474,fr,France,Côtes de Provence,Château d'Esclans,/wineries/chateau-d-esclans/wines/whispering-angel-ctes-de-provence-ros-8888,/wineries/chateau-d-esclans/wines/whispering-angel-ctes-de-provence-ros-8888,//images.vivino.com/thumbs/YsC3TqfWSBCVs_StL9jB-w_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Malbec 2014,3.6,13.99,13181,ar,Argentina,Mendoza,Alamos,/wineries/alamos-winery/wines/mendoza-alamos-malbec-2014,/wineries/alamos-winery/wines/mendoza-alamos-malbec-2014,//images.vivino.com/thumbs/eAlfCvnfRcGKlrxQ9M5WJQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Saint-Estèphe,4.2,199.99,13007,fr,France,Saint-Estèphe,Château Montrose,/wineries/montrose-115806/wines/saint-estephe-8888,/wineries/montrose-115806/wines/saint-estephe-8888,//images.vivino.com/thumbs/R179jJCbTlW20gB431bt9A_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cordón Negro Brut,3.6,8.95,12385,es,Spain,Cava,Freixenet,/wineries/freixenet/wines/cordon-negro-cava-seleccion-8888,/wineries/freixenet/wines/cordon-negro-cava-seleccion-8888,//images.vivino.com/thumbs/TiCbj15nS8qf_1DBhamB1A_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Catena Malbec 2013,3.9,16.99,12062,ar,Argentina,Mendoza,Catena Zapata,/wineries/catena-zapata/wines/catena-mendoza-malbec-2013,/wineries/catena-zapata/wines/catena-mendoza-malbec-2013,//images.vivino.com/thumbs/Jry0nMm9Rae0YgvN_yVdoA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cabernet Sauvignon,4.2,49.99,11929,us,United States,Napa Valley,Stags' Leap,/wineries/us-stags-leap-winery/wines/naoa-valley-cabernet-sauvignon-8888,/wineries/us-stags-leap-winery/wines/naoa-valley-cabernet-sauvignon-8888,//images.vivino.com/thumbs/-ZyQ5eQ_SsS0HXnO7-d-hw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Grande Cuvée Brut,4.6,134.99,11850,fr,France,Champagne,Krug,/wineries/champagne-krug/wines/champagne-grande-cuve-brut-8888,/wineries/champagne-krug/wines/champagne-grande-cuve-brut-8888,//images.vivino.com/thumbs/K2ehukiPQ364VJlqWoxVIA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Rioja Reserva 2011,3.9,18.99,11554,es,Spain,Rioja,Marqués de Riscal,/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011,/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011,//images.vivino.com/thumbs/8tjGxbR1QyWxKAa4DN3GRw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Malbec 2015,3.6,9.99,11243,ar,Argentina,Mendoza,Alamos,/wineries/alamos-winery/wines/malbec-2015,/wineries/alamos-winery/wines/malbec-2015,//images.vivino.com/thumbs/1i9e5mumRJ-sn9EwfPI7Rw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Grand Brut Champagne,4.1,34.95,11238,fr,France,Champagne,Perrier-Jouët,/wineries/fr-perrier-jouet/wines/champagne-grand-brut-8888,/wineries/fr-perrier-jouet/wines/champagne-grand-brut-8888,//images.vivino.com/thumbs/uwkTEqsZRtKdWKInDwqmsw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Pinot Noir 2015,4.1,23.99,10689,us,United States,California,Meiomi,/wineries/meiomi/wines/meiomi-pinot-noir-2015,/wineries/meiomi/wines/meiomi-pinot-noir-2015,//images.vivino.com/thumbs/uJJNtRmRT7qFkAotxbfhSw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Côtes de Provence Rosé,3.9,17.95,10631,fr,France,Côtes de Provence,Miraval,/wineries/miraval/wines/cotes-de-provence-8888,/wineries/miraval/wines/cotes-de-provence-8888,//images.vivino.com/wineries/26164/vintages/001punmk6b5ol.png,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Impérial Brut Rosé,4.1,39.99,10551,fr,France,Champagne,Moët &amp; Chandon,/wineries/moet-and-chandon/wines/brut-champagne-ros-imprial-8888,/wineries/moet-and-chandon/wines/brut-champagne-ros-imprial-8888,//images.vivino.com/wineries/7799/wines/000o1t85j1x0l_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
I Gran Reserva Rioja 2001,4,28.99,9829,es,Spain,Rioja,Faustino,/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001,/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001,//images.vivino.com/thumbs/xnp6rrwCRgiuENX6fwlzHQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Prosecco,3.8,11.97,9627,it,Italy,Veneto,La Marca,/wineries/la-marca/wines/prosecco-8888,/wineries/la-marca/wines/prosecco-8888,//images.vivino.com/thumbs/lgF5tZbzRTyK197zdFENKA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
The Original Rosé,3.4,7.49,9482,pt,Portugal,Douro,Mateus,/wineries/mateus/wines/mateus-the-original-8888,/wineries/mateus/wines/mateus-the-original-8888,//images.vivino.com/thumbs/d4tBG7QlRyeZvReenDYMbw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cava Gran Reserva Brut Nature Reserva de la Familia,3.9,15.99,9393,es,Spain,Cava,Juvé &amp; Camps,/wineries/juve-y-camps/wines/brut-nature-gran-reserva-cava-8888,/wineries/juve-y-camps/wines/brut-nature-gran-reserva-cava-8888,//images.vivino.com/thumbs/x4dzx9GZS7mCVdAicbj2EA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Franciacorta Brut Cuvée Prestige,4,37.99,8956,it,Italy,Franciacorta,Ca' del Bosco,/wineries/it-ca-del-bosco/wines/franciacorta-cuve-prestige-8888,/wineries/it-ca-del-bosco/wines/franciacorta-cuve-prestige-8888,//images.vivino.com/thumbs/W2y79J5nRce9WVL_c_gb5g_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut 2004,4.5,139.95,8802,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2004,/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2004,//images.vivino.com/thumbs/J0ahYIj7RR--cw2YaMDJjA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cabernet Sauvignon 2014,4.6,69.95,8741,us,United States,Napa Valley,Caymus Vineyards,/wineries/caymus-vineyards/wines/napa-valley-cabernet-sauvignon-2014,/wineries/caymus-vineyards/wines/napa-valley-cabernet-sauvignon-2014,//images.vivino.com/thumbs/wEdd_2-xRwCgFgbEkOyLMg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Villa Antinori Rosso Toscana 2013,3.8,18.98,8711,it,Italy,Toscana,Marchesi Antinori,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013,//images.vivino.com/thumbs/2buRrfbrS3yby1YMr4QbBA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
The Prisoner 2014,4.4,47.99,8695,us,United States,Napa Valley,The Prisoner Wine Company,/wineries/us-prisoner-wine-company/wines/the-prisoner-2014,/wineries/us-prisoner-wine-company/wines/the-prisoner-2014,//images.vivino.com/thumbs/uDVLUB5ARiyvKf_L0FAfXg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut (Cordon Rouge),3.8,37.99,8438,fr,France,Champagne,G.H. Mumm,/wineries/champagne-gh-mumm-and-cie/wines/champagne-brut-8888,/wineries/champagne-gh-mumm-and-cie/wines/champagne-brut-8888,//images.vivino.com/thumbs/zTBeCQ_sSMC1zDN8K2n24g_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Cuvée Rosé,4.3,68.98,8227,fr,France,Champagne,Laurent-Perrier,/wineries/domaine-laurent-perrier/wines/champagne-cuvee-ros-brut-8888,/wineries/domaine-laurent-perrier/wines/champagne-cuvee-ros-brut-8888,//images.vivino.com/thumbs/PRR6TVGRQIe6v7a68t49eQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Royal,3.8,29.99,8171,fr,France,Champagne,Pommery,/wineries/pommery/wines/2066028-champagne-8888,/wineries/pommery/wines/2066028-champagne-8888,//images.vivino.com/thumbs/0A6AtN-jQ_q_W1qqG0ZgTg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Reserva Cabernet Sauvignon 2015,3.5,12.50,7953,cl,Chile,Valle Central,Casillero del Diablo,/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015,/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015,//images.vivino.com/thumbs/mliQEhw-QUyLYEx4WBFy-Q_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Rosso Dolce,4.2,11.99,7869,it,Italy,Provincia di Pavia,Roscato,/wineries/roscato/wines/3759925-rosso-dolce-sweet-red-8888,/wineries/roscato/wines/3759925-rosso-dolce-sweet-red-8888,//images.vivino.com/thumbs/1349796521_7660_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
White Blend,3.8,22.99,7780,us,United States,California,Conundrum,/wineries/conundrum-wines/wines/california-proprietary-blend-white-8888,/wineries/conundrum-wines/wines/california-proprietary-blend-white-8888,//images.vivino.com/thumbs/cJh1pq_NS2qrMihKcq5-5A_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Tinto 2013,3.4,9.99,7749,pt,Portugal,Douro,Porca de Murca,/wineries/porca-de-murca/wines/porca-de-mura-douro-tinto-2013,/wineries/porca-de-murca/wines/porca-de-mura-douro-tinto-2013,//images.vivino.com/thumbs/DAaUYPEZTUmkEhCNPogiFg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
4 Meses Jumilla Red (Yellow Label) 2013,3.9,15.99,7651,es,Spain,Jumilla,Juan Gil,/wineries/bodegas-juan-gil/wines/2659651-jumilla-red-2013,/wineries/bodegas-juan-gil/wines/2659651-jumilla-red-2013,//images.vivino.com/thumbs/AzfRGjkXTi6WqC33hcWvjg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut (R de Ruinart),4.2,71.14,7623,fr,France,Champagne,Ruinart,/wineries/champagne-ruinart/wines/champagne-reims-brut-8888,/wineries/champagne-ruinart/wines/champagne-reims-brut-8888,//images.vivino.com/thumbs/RBm-TgkxSjuKSwR5WbQy2g_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Blanc de Blancs,4.3,62.50,7613,fr,France,Champagne,Ruinart,/wineries/champagne-ruinart/wines/champagne-blanc-de-blancs-reims-brut-8888,/wineries/champagne-ruinart/wines/champagne-blanc-de-blancs-reims-brut-8888,//images.vivino.com/thumbs/wMtnua8CROqecoNAgNXOaA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Rosé,4.6,374.99,7551,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/rose-champagne-brut-vintage-8888,/wineries/dom-perignon/wines/rose-champagne-brut-vintage-8888,//images.vivino.com/thumbs/R_6epjilQF6t-a08m2X-ew_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Dark 2014,3.7,9.99,7422,us,United States,California,Apothic,/wineries/apothic/wines/california-dark-limited-release-red-2014,/wineries/apothic/wines/california-dark-limited-release-red-2014,//images.vivino.com/thumbs/IWtLPwcvSRqbJUcK3QEdsQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Tempranillo Rioja 2014,3.6,10.99,7381,es,Spain,Rioja,Campo Viejo,/wineries/campo-viejo/wines/rioja-tempranillo-2014,/wineries/campo-viejo/wines/rioja-tempranillo-2014,//images.vivino.com/thumbs/0fpABEl7SQ-xjZDPF37Bcw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Malbec 2013,3.9,17.99,7333,ar,Argentina,Mendoza,Luigi Bosca,/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013,/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013,//images.vivino.com/thumbs/iwgA3x0eSN2X5KnfsZeZbw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cabernet Sauvignon 2014,3.8,14.99,7276,us,United States,California,Josh Cellars,/wineries/josh/wines/josh-cabernet-sauvignon-2014,/wineries/josh/wines/josh-cabernet-sauvignon-2014,//images.vivino.com/thumbs/xNZi5KTDSAeFC5XgAgjVQA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Brut Classic Champagne,4,49.99,7047,fr,France,Champagne,Deutz,/wineries/deutz/wines/champagne-classic-brut-8888,/wineries/deutz/wines/champagne-classic-brut-8888,//images.vivino.com/thumbs/tXg7hsLOT3-fPwzLvql6Qg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Unico Reserva Especial,4.7,399.52,7034,es,Spain,Ribera del Duero,Vega Sicilia,/wineries/es-vega-sicilia/wines/unico-reserva-especial-ribera-del-duero-8888,/wineries/es-vega-sicilia/wines/unico-reserva-especial-ribera-del-duero-8888,//images.vivino.com/thumbs/gVYqbYt8Rni4-QyrKOJ_Uw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
White Zinfandel,3.6,5.99,7033,us,United States,California,Beringer Vineyards,/wineries/beringer-vineyards/wines/california-white-zinfandel-8888,/wineries/beringer-vineyards/wines/california-white-zinfandel-8888,//images.vivino.com/thumbs/IfX0zXCiQj6XKVfYSU-vIQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
M Côtes de Provence Rosé,3.8,19.99,6858,fr,France,Côtes de Provence,Château Minuty,/wineries/minuty/wines/ctes-de-provence-8888,/wineries/minuty/wines/ctes-de-provence-8888,//images.vivino.com/thumbs/Nqg_WTMMSy2vPvp5LGbDJA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Reserva Carmenère 2013,3.5,13.98,6846,cl,Chile,Valle Central,Casillero del Diablo,/wineries/casillero-del-diablo/wines/casillero-del-diablo-reserva-carmenere-2013,/wineries/casillero-del-diablo/wines/casillero-del-diablo-reserva-carmenere-2013,//images.vivino.com/thumbs/ifNQMOTKShW5FwLmFmBVDg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut 2006,4.5,138.94,6841,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/vintage-2006,/wineries/dom-perignon/wines/vintage-2006,//images.vivino.com/thumbs/w9Cjk8fNTB2-RNZo0QGOMQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Réserve,4.1,44.98,6806,fr,France,Champagne,Billecart-Salmon,/wineries/champagne-billecart-salmon/wines/brut-rserve-8888,/wineries/champagne-billecart-salmon/wines/brut-rserve-8888,//images.vivino.com/thumbs/dZoAkOb8T9u6T_yvldZ_qg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cava Carta Nevada Brut,3.6,9.99,6798,es,Spain,Cava,Freixenet,/wineries/freixenet/wines/cava-carta-nevada-8888,/wineries/freixenet/wines/cava-carta-nevada-8888,//images.vivino.com/thumbs/Yb-qwimvRi66h1-3imYfaQ_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Villa Antinori Rosso Toscana 2011,3.8,16.97,6788,it,Italy,Toscana,Marchesi Antinori,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2011,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2011,//images.vivino.com/thumbs/hXkG5ITOSKyJvj0DmAvjhg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Rosé,4.4,73.98,6650,fr,France,Champagne,Billecart-Salmon,/wineries/champagne-billecart-salmon/wines/champagne-brut-ros-8888,/wineries/champagne-billecart-salmon/wines/champagne-brut-ros-8888,//images.vivino.com/thumbs/aCnqieGjSSO8nvCXYcuySA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Costasera Amarone della Valpolicella Classico 2011,4.3,41.95,6618,it,Italy,Amarone della Valpolicella Classico,Masi,/wineries/it-masi/wines/masi-costasera-amarone-classico-2011,/wineries/it-masi/wines/masi-costasera-amarone-classico-2011,//images.vivino.com/thumbs/g0NrHmHeTcyCvbUvJmLkJg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut,3.9,34.97,6604,fr,France,Champagne,Piper-Heidsieck,/wineries/piper-heidsieck-champagne/wines/2078233-champagne-brut-8888,/wineries/piper-heidsieck-champagne/wines/2078233-champagne-brut-8888,//images.vivino.com/wineries/2049/wines/000ock64k6m28.png,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Lambrusco Emilia,3.7,5.99,6570,it,Italy,Emilia,Riunite,/wineries/riunite/wines/emilia-lambrusco-8888,/wineries/riunite/wines/emilia-lambrusco-8888,//images.vivino.com/thumbs/KM7gwyp_Sgi_jJBKngMf3w_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Brut,3.7,17.99,6507,it,Italy,Trento,Ferrari,/wineries/ferrari/wines/trentodoc-metodo-classico-brut-8888,/wineries/ferrari/wines/trentodoc-metodo-classico-brut-8888,//images.vivino.com/thumbs/jSdkLCB_TySyT0mUsjjkzg_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Amarone della Valpolicella Classico 2012,4.3,73.99,6476,it,Italy,Amarone della Valpolicella Classico,Tommasi,/wineries/tommasi-viticoltori/wines/1667239-amarone-della-valpolicella-classico-2012,/wineries/tommasi-viticoltori/wines/1667239-amarone-della-valpolicella-classico-2012,//images.vivino.com/thumbs/cCpphkorQd-zQNm9kR1fmA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut 2003,4.6,159.95,6464,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2003,/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2003,//images.vivino.com/thumbs/yTkdKK-2RI2IM9R_r-onXw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Cabernet Sauvignon,3.8,26.99,6423,us,United States,Napa Valley,Napa Cellars,/wineries/napa-cellars/wines/napa-valley-cabernet-sauvignon-8888,/wineries/napa-cellars/wines/napa-valley-cabernet-sauvignon-8888,//images.vivino.com/thumbs/ASvNCxSBQG6VSjeTd50iYA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Red Blend,3.8,14.99,6234,us,United States,Central Coast,Troublemaker,/wineries/hope-family/wines/2433567-troublemaker-8888,/wineries/hope-family/wines/2433567-troublemaker-8888,//images.vivino.com/thumbs/okF3FaKrSmaZk6Jqd-AsqA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Montepulciano d'Abruzzo dal Tralcetto 2013,3.8,14.98,6219,it,Italy,Montepulciano d'Abruzzo,Cantina Zaccagnini,/wineries/azienda-agricola-ciccio-zaccagnini-sas/wines/il-vino-dal-tralcetto-montepulciano-dabruzzo-dry-red-2013,/wineries/azienda-agricola-ciccio-zaccagnini-sas/wines/il-vino-dal-tralcetto-montepulciano-dabruzzo-dry-red-2013,//images.vivino.com/thumbs/MXf0abZuRc6zSiquqolsCA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Campofiorin 2012,3.7,14.99,6193,it,Italy,Rosso Veronese,Masi,/wineries/it-masi/wines/masi-campofiorin-2012,/wineries/it-masi/wines/masi-campofiorin-2012,//images.vivino.com/thumbs/LW_NP9fRTH6a5SWXFJ8YZw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Rioja Reserva 2010,3.9,16.97,6174,es,Spain,Rioja,Baron de Ley,/wineries/es-baron-de-ley/wines/1313231-reserva-rioja-2010,/wineries/es-baron-de-ley/wines/1313231-reserva-rioja-2010,//images.vivino.com/thumbs/ajja0ohLRVWR3I80giq9hA_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Vineyards Malbec 2015,3.3,8.99,6172,ar,Argentina,Mendoza,Trapiche,/wineries/trapiche/wines/vineyards-malbec-2015,/wineries/trapiche/wines/vineyards-malbec-2015,//images.vivino.com/wineries/7931/vintages/008vvkjsfdt7n_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
Champagne Brut Rosé,4.3,59.95,6154,fr,France,Champagne,Veuve Clicquot,/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-ros-8888,/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-ros-8888,//images.vivino.com/thumbs/XcUSUctSTYKnmaipW2H8zw_150x200.jpg,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore
