Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County
AZ-W-15043,Ranchomaria Vineyards Llc,Ranchomaria Vineyards,13490 S Bell Rd,Benson,AZ,85602,7322,Cochise
AZ-W-15044,Earle's Custom Wines Inc.,Yuma's Main Squeeze,251 S Main St,Yuma,AZ,85364,0,Yuma
AZ-W-15045,"Sustainable Packaging Solutions, Llc",Kind Vines,2225 N Gemini Dr,Flagstaff,AZ,86001,1601,Coconino
AZ-W-15046,Marie Petroff,Pleasant Valley Winery,3023 Walnut Creek Rd,Young,AZ,85554,1111,Gila
AZ-W-15047,Jann Hellethal Bengel And Henry Daniel Bengel,Silver Strike Winery,334 E Allen St,Tombstone,AZ,85638,0,Cochise
AZ-W-20214,Terrace Tee Llc,Terrace Tee Winery,155 Circle Dr,Benson,AZ,85602,6773,Cochise
AZ-W-20307,"Jorve Macmillan Vineyards, L.L.C.",Zarpara Vineyard,6777 S Zarpara Ln,Willcox,AZ,85643,0,Cochise
AZ-W-269,"Staltari, William Joseph",San Dominique Winery,Yavapai Cty. Hwy. 17 & Arizona Rt. 169,Camp Verde,AZ,86322,0,Maricopa
AZ-W-272,Arthur Burdon Ocheltree,Arizona Vineyards,1830 Patagonia Hwy,Nogales,AZ,85621,0,Santa Cruz
AZ-W-273,"Sonoita Vineyards, Ltd.",Sonoita Vineyards,"On Conelo Road, 2.75 Mi. Sw Of Elgin",Elgin,AZ,85611,0,Pima
AZ-W-286,Lesco Enterprises Inc.,Ft Bowie Vineyards & Orchard Products,156 N Jefferson,Bowie,AZ,85605,0,Cochise
AZ-W-288,"Domaines Ellam, Inc.",The Village Of Elgin Winery,471 Elgin Rd,Elgin,AZ,85611,0,Pima
AZ-W-290,"Amigos De Vino, Inc.",Echo Canyon Vineyard & Winery,3222 N Echo Canyon Rd,Cornville,AZ,86325,0,Yavapai
AZ-W-291,"Oak Creek Vineyards & Winery, Inc",Oak Creek Vineyards & Winery,1555 N Page Springs Rd,Cornville,AZ,86325,6009,Yavapai
AZ-W-296,"Colibri Vineyard And Winery, L.L.C.",Colibri Vineyard And Winery,2825 W Hilltop Rd,Portal,AZ,85632,8021,Cochise
CO-W-15000,"Verso Cellars, Llc",Verso Cellars,21358 Austin Rd,Austin,CO,81410,0,Delta
CO-W-15001,Valley Of The Wind Llc,Valley Of The Wind Winery,220 12th St Sw,Loveland,CO,80537,6392,Larimer
CO-W-15002,S Rhodes Vineyards Llc, ,13450 Chickory Rd,Hotchkiss,CO,81419,7109,Delta
CO-W-15003,Whitewater Hill Llc,Whitewater Hill Vineyards,220 32 Rd,Grand Junction,CO,81503,9404,Mesa
CO-W-15005,Winter Park Winery Llc, ,395 Zerex St,Fraser,CO,80442,0,Grand
CO-W-15008,"Talon Winery, Llc",Colorado Wine Room,3701 G Rd,Palisade,CO,81526,0,Mesa
CO-W-15009,"Snowy Peaks Winery, Llc",Snowy Peaks Winery,292 Moraine Ave,Estes Park,CO,80517,0,Larimer
CO-W-15010,Leroux Creek Vineyards Llc,Leroux Creek Vineyards,12388 3100 Rd,Hotchkiss,CO,81419,6103,Delta
CO-W-15012,"Concetta Cellars, Llc", ,4637 N Foxtail Dr,Castle Rock,CO,80109,2822,Douglas
CO-W-15014,"Desert Moon Vineyards, Inc.", ,12656 E Jamison Pl,Englewood,CO,80112,0,Arapahoe
CO-W-15017,"Ciatano's Vineyards, Llc",Ciatano's Vineyards,16858 N St. Vrain Dr,Lyons,CO,80540,9051,Boulder
CO-W-15018,Blossomwood Cidery Llc,Blossomwood Cidery,794 Ne Indian Camp Ave,Cedaredge,CO,81413,5229,Delta
CO-W-15019,"Hca Winery Acquisition, Llc",The Winery At Holy Cross Abbey,3011 E Highway 50,Canon City,CO,81212,0,Fremont
CO-W-15020,"Vintner's Cellar Of Littleton, Inc.",Vintner's Cellar,10125 W San Juan Way,Littleton,CO,80127,0,Jefferson
CO-W-15021,"Bijou Creek Vineyards, Llc",Bijou Creek,18969 County Rd,Fort Morgan,CO,80701,8921,Morgan
CO-W-15022,Bonacquisti Wine Company, ,4640 Pecos St,Denver,CO,80211,2300,Denver
CO-W-15023,"Bethlehem Wine Cellars, Llc",Bethlehem Wine Cellars,42097 Minnesota Creek Rd,Paonia,CO,81428,8125,Delta
CO-W-15025,Purple Feet Inc., ,8130 S University Blvd,Centennial,CO,80122,3162,Arapahoe
CO-W-15027,"Ten Bears Winery, Ltd., Poudre Valley Vintners, Llc, General Partner", ,5215 Ten Bears Ct,Laporte,CO,80535,9566,Larimer
CO-W-15028,"Lone Star Vino (DENVER), Llc", ,1660 Champa St,Denver,CO,80202,2703,Denver
CO-W-15029,Azura Studios Corp, ,16764 Farmers Mine Rd,Paonia,CO,81428,7101,Delta
CO-W-15030,"Lone Star Vino (SILVERTHORNE), L.L.C.", ,358 Blue River Pkwy,Silverthorne,CO,80498,9224,Summit
CO-W-15031,Vino Di Maria,Vino Di Maria,12445 E 39th Ave,Denver,CO,80239,0,Denver
CO-W-15032,Philip And Susan Patton,The Peachfork,281 33 Rd,Palisade,CO,81526,9505,Mesa
CO-W-15033,Blue Mountain Vineyards Ltd, ,4480 Hoot Owl Dr,Berthoud,CO,80513,0,Larimer
CO-W-15034,Constance Cellars Llc,Constance Cellars,13135 Whisper Canyon Rd,Castle Rock,CO,80108,8181,Douglas
CO-W-15035,"Allis Ranch Winery, Llc", ,901 Allis Ranch Rd,Sedalia,CO,80135,8364,Douglas
CO-W-15036,"Bacchus Meadery, Llc",Bacchus Meadery,4229 W Eisenhower Blvd,Loveland,CO,80538,9202,Larimer
CO-W-15038,"Vintners In The Spa, L.L.C.",D'vine Wine,934 Manitou Ave,Manitou Springs,CO,80829,0,El Paso
CO-W-15039,5680 L.L.C., ,14652 Peony Ln,Paonia,CO,81428,4112,Delta
CO-W-15041,"Desert Sun Vineyards & Winery, Llc",Desert Sun Vineyards & Winery,3230 B 1/2 Rd,Grand Junction,CO,81503,9412,Mesa
CO-W-15042,Summit Cellars Llc,Summit Cellars,595 36 Rd,Palisade,CO,81526,0,Mesa
CO-W-15043,"The Infinite Monkey Theorem, Llc",The Infinite Monkey Theorem,931 W 5th Ave,Denver,CO,80204,5007,Denver
CO-W-15044,"Dithyramb Winery, Llp",Dithyramb Winery,8312 E Briarwood Blvd,Centennial,CO,80112,1319,Arapahoe
CO-W-15045,"Fairbank / Wecker, Inc.",Liliputian Winery,31428 Hwy 92,Hotchkiss,CO,81419,0,Delta
CO-W-15046,Avant Vineyards Inc., ,3486 E Rd,Palisade,CO,81526,9571,Mesa
CO-W-15047,Robert Murhl Stahl And Mary Ellen Stahl,River Garden Winery,9378 County Rd,Fort Lupton,CO,80621,9308,Weld
CO-W-15048,Lawrence David Garrett,Garrett Estate Cellars,53528 Falcon Rd,Olathe,CO,81425,9617,Montrose
CO-W-15049,"Varaison Vineyards And Winery, Llc", ,405 W First St,Palisade,CO,81526,0,Mesa
CO-W-15050,North Fork Cellars Llc,North Fork Cellars Llc,386 High St,Hotchkiss,CO,81419,0,Delta
CO-W-15051,"Maison La Belle Vie, Inc.", ,3575 G Rd,Palisade,CO,81526,8701,Mesa
CO-W-15052,"Two Brothers Vineyards, Llc",Black Forest Meadery,6420 Burrows Rd,Colorado Springs,CO,80908,3820,El Paso
CO-W-15053,"Aspen Peak Cellars, Inc",Aspen Peak Cellars,60750 Us Hwy,Bailey,CO,80421,0,Park
CO-W-15055,Pwp Corporation,Mesa Park Vineyards,3321 C Road,Palisade,CO,81526,9531,Mesa
CO-W-15056,"Zephyr Cellars, Ltd.", ,200 Sw Street,Loveland,CO,80537,0,Larimer
CO-W-15057,Rgw Associates Inc.,Mas Rios Winery,3820 G 25 Rd,Palisade,CO,81526,0,Mesa
CO-W-15058,Pleasant View Vineyards Llc,Pleasant View Vineyards,22970 County Road 10,Pleasant View,CO,81331,0,Montezuma
CO-W-15059,Fox Fire Farms Llc Three,Fox Fire Farms,5513 County Rd,Ignacio,CO,81137,9690,La Plata
CO-W-15061,Spring Creek Vineyards Llc, ,1702 Willow St,Canon City,CO,81212,5146,Fremont
CO-W-15062,"Vino Salida, Llc",Vino Salida,8100 W Us Hwy 50,Salida,CO,81201,0,Chaffee
CO-W-15063,Black Ink Assets Llc,Ruby Trust Cellars,864 W Happy Canyon Rd,Castle Rock,CO,80108,3908,Douglas
CO-W-15065,"Ciatano's Vineyards, Llc",Ciatano's Vineyards,200 12th St Sw,Loveland,CO,80537,6393,Larimer
CO-W-15066,Lawrence E. Parker & Nina L. Parker,Fire Mountain Vineyard,38594 Stucker Mesa Rd,Hotchkiss,CO,81419,6241,Delta
CO-W-15067,"Gubbini Winery, Llc",Gubbini Winery,3697 F Rd,Palisade,CO,81526,9327,Mesa
CO-W-15068,Settembre Cellars Llc,Settembre Cellars,1780 Grape Ave,Boulder,CO,80304,2203,Boulder
CO-W-15069,Carriage House Llc,Water 2 Wine Co-2,9608 E Arapahoe Rd,Greenwood Village,CO,80112,3703,Arapahoe
CO-W-15070,"Khl & Associates, Inc.",Kahil Winery,2087 Broadway,Grand Junction,CO,81507,9778,Mesa
CO-W-15071,Boldron Farm Ltd,Honeyjack,9769 W 119th Dr,Broomfield,CO,80020,0,Broomfield
CO-W-15072,Rockyspring Winery Llc,Rockyspring Winery,1339 Wolfe Rd,Hartsel,CO,80449,0,Park
CO-W-15073,"Sweetheart City Wines, Llc", ,6295 Bluff Ln,Loveland,CO,80537,2924,Larimer
CO-W-15074,Two Bees Llc,Hunters Moon Meadery,404 Immigrant Trl,Severance,CO,80550,2624,Weld
CO-W-15075,"Colorado Cider Company, Llc",Colorado Cider Company,2650 W 2nd Ave,Denver,CO,80219,1642,Denver
CO-W-15076,"Anatomy Wines, Llc",Anatomy Wines,1017 Buffalo Ridge Rd,Castle Rock,CO,80108,8188,Douglas
CO-W-15077,"Colterris, Llc",Colterris Wines,3548 E 1/2 Rd,Palisade,CO,81526,9559,Mesa
CO-W-15080,Colorado State University,Ram's Point Winery,3168 B 1/2 Rd,Grand Junction,CO,81503,9621,Mesa
CO-W-15082,Point Blank Winery Llc,Point Blank Winery,6547 S Racine Cir,Centennial,CO,80111,6459,Arapahoe
CO-W-15083,Tt Enterprise,The Queen's Honeywine,865 S Leyden St,Denver,CO,80220,1441,Denver
CO-W-20137,Solares Llc, ,5131 Franklin St,Denver,CO,80216,2103,United States
CO-W-20151,"Byerscellars Wines, Llc",Byerscellars Wines,109 W Galena Ave,Cripple Creek,CO,80813,0,United States
CO-W-20156,Mesa Winds Winery Llc,Mesa Winds Winery,31262 L Rd,Hotchkiss,CO,81419,0, 
CO-W-20308,"First Corked, L.L.C.",Silver Vines Winery,7509 Grandview Ave,Arvada,CO,80002,0,Jefferson
CO-W-20327,Kingman Enterprises L.L.C.,Kingman Estates Winery,3148 A 1/2 Rd,Grand Junction,CO,81503,0, 
CO-W-20327,Kingman Enterprises L.L.C.,Kingman Estates Winery,3148 A 1/2 Rd,Grand Junction,CO,81503,0, 
CO-W-20380,Summit Wines Llc,Summit Wines,4860 S Quintero St,Aurora,CO,80015,1837,Usa
CO-W-20439,Robertson And Associates Winery Ltd,Robertson And Associates Winery,1088 Pinewicket Way,Parker,CO,80138,4411,Elbert
CO-W-29,Plum Creek Cellars Ltd,Plum Creek Cellars,3708 G Rd,Palisade,CO,81526,9603,Mesa
CO-W-31,"Carlson Vineyards, Inc.", ,461 35th Rd,Palisade,CO,81526,9518,Mesa
CO-W-32,The Vineland Corporation.,Colorado Cellars Ltd.,3553 E Rd,Palisade,CO,81526,9558,Mesa
CO-W-34,"Grande River Vineyards, Inc.", ,787 Elberta Ave,Palisade,CO,81526,129,Mesa
CO-W-36,"Minturn Cellars, Ltd.",Minturn Cellars,107 Williams St,Minturn,CO,81645,0,Eagle
CO-W-37,"J. Mathewson & Sons, Inc.",Terror Creek Winery,17445 Garvin Mesa Rd,Paonia,CO,81428,0,Delta
CO-W-39,"Information Engineering Services, Inc.",Cottonwood Cellars,5482 Highway 348,Olathe,CO,81425,0,Montrose
CO-W-40,"Rondon Enterprises, Inc.",Stoney Mesa Winery,1619 2125 Dr,Cedaredge,CO,81413,9577,Delta
CO-W-44,"Mountain Spirit Winery, Ltd.",Mountain Spirit Winery,15750 County Road 220,Salida,CO,81201,0,Chaffee
CO-W-47,William F. Donahue,Creekside Cellars,28036 Highway 74,Evergreen Co,CO,80439,0,Jefferson
CO-W-48,Christianson Cellars Llc,Canyon Wind Cellars,3907 N River Rd,Palisade,CO,81526,0,Mesa
CO-W-49,Marianne Walter,Augustina's Winery,4715 Broadway St,Boulder,CO,80304,571,Boulder
CO-W-51,"Aspen Valley Winery, Llc", ,197 Coyote Cir,Carbondale,CO,81623,8743,Eagle
CO-W-53,"Steamboat Springs Cellars, Inc.",Steamboat Springs Cellars,2432 Downhill Dr,Steamboat Springs,CO,80487,5072,Routt
CO-W-54,"Baharav, Dan & Eva",Baharav Vineyards,2370 Road 112,Carbondale,CO,81623,0,Garfield
CO-W-55,"J.A. Balistreri Farms, Inc.",J.A. Balistreri Vineyards,1946 E 66th Ave,Denver,CO,80229,7424,Adams
CO-W-57,"Bookcliff Vineyards, Inc.", ,1501 Lee Hill Road #17,Boulder,CO,80304,1111,Boulder
CO-W-58,"Surface Creek Winery & Vineyards, Llc",Surface Creek Winery & Vineyards,20909 North Rd,Eckert,CO,81418,483,Delta
CO-W-59,"Rgw Associates, Inc.",Two Rivers Winery,2087 Broadway,Grand Junction,CO,81503,0,Mesa
CO-W-60,Clyde And June Spero,Spero Winery,3316 W 64th Ave,Denver,CO,80221,2164,Adams
CO-W-61,"Battle Rock Ranch, Llc",Sutcliffe Vineyards,12202 County Road G,Cortez,CO,81321,0,Montezuma
CO-W-62,"Guy Drew Vineyards, Inc.",Guy Drew Vineyards,20057 County Road G,Cortez,CO,81321,0,Montezuma
CO-W-64,"D. Myers, Llc",Redstone Meadery,4700 Pearl St,Boulder,CO,80301,0,Boulder
CO-W-65,Reeder Mesa Vineyards Llc,Reeder Mesa Vineyards,7799 Reeder Mesa Rd,Whitewater,CO,81527,9510,Mesa
CO-W-66,"Woody Creek Cellars, Llc", ,21358 Austin Rd,Austin,CO,81410,0,Delta
CO-W-67,"Avanti Winery, Inc.",Gars & Grapes,9046 W Bowles Ave,Littleton,CO,80123,8615,Jefferson
CO-W-68,"Graystone Winery, Inc.",Graystone Winery,3334 F Rd,Clifton,CO,81520,8150,Mesa
CO-W-70,Mt. Garfield Winery Corp.,Garfield Estates Vineyard,3572 G Rd,Palisade,CO,81526,9789,Mesa
CO-W-72,"Hermosa Vineyards, Llc",Hermosa Vineyards,3269.75 C Road,Palisade,CO,81526,9529,Mesa
CO-W-73,"Medovina, Inc.",Medovina,308 3rd Ave,Niwot,CO,80544,0,Boulder
CO-W-77,"Jack Rabbit Hill, Llc.",Jack Rabbit Hill,26567 North Rd,Hotchkiss,CO,81419,0,Delta
CO-W-78,J Susi Winery Inc.,J Susi Winery,26832 W Barkley Rd,Conifer,CO,80433,0,Jefferson
CO-W-80,"Barton Creek Cellars, Llc.", ,240 Lake Dillon Dr,Dillon,CO,80435,0,Summit
CO-W-81,Fortress Group Limited, ,1218 Yarnell Dr,Larkspur,CO,80118,6523,Douglas
CO-W-82,"Mountain View Winery, Inc.",Mountain View Winery,5859 58.25 Rd,Olathe,CO,81425,0,Montrose
CO-W-83,Boulder Creek Winery Llc,Boulder Creek Winery,6440 Odell Pl,Boulder,CO,80301,3329,Boulder
CO-W-84,Stone Cottage Cellars Inc.,Stone Cottage Cellars,41716 Reds Rd,Paonia,CO,81428,1111,Delta
CO-W-87,"Saint Vrain Vineyards, Inc.",Saint Vrain Vineyards And Winery,1633 S Highway 287,Berthoud,CO,80513,0,Larimer
CO-W-89,"Bueb Enterprises, Llc",Turquoise Mesa Winery,555 Burbank St,Broomfield,CO,80020,1664,Broomfield
CO-W-90,"Puesta Del Sol Vineyards, Llc",Puesta Del Sol Vineyards,11931 4050 Rd,Paonia,CO,81428,6418,Delta
CO-W-91,"Black Bridge Winery, L.L.C.", ,15836 Black Bridge Rd,Paonia,CO,81428,7107,Delta
CT-W-1,Mclaughlin Vineyards Inc., ,Alberts Hill Road,Sandy Hook,CT,6482,0,Fairfield
CT-W-14,"Digrazia Vineyards, Ltd.", ,131 Tower Rd,Brookfield,CT,6804,3654,Fairfield
CT-W-15000,"Wine Boys, Llc", ,118 Burr Ct,Bridgeport,CT,6605,5669,Fairfield
CT-W-15001,"Connecticut Valley Winery, Llc", ,1480 Litchfield Turnpike,New Hartford,CT,6057,3210,Litchfield
CT-W-15003,"Rosedale Vineyards, Llc", ,25 E Weatogue St,Simsbury,CT,6070,2501,Hartford
CT-W-15004,"Bishop's Orchards Winery, Llc",Bishop's Orchards Winery,1355 Boston Post Rd,Guilford,CT,6437,2318,New Haven
CT-W-15005,"Miranda Vineyard, Llc", ,42 Ives Rd,Goshen,CT,6756,2118,Litchfield
CT-W-15007,Savino Vineyards L.L.C.,Savino Vineyards,128 Ford Rd,Woodbridge,CT,6525,1709,New Haven
