title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
Cordón Negro Brut,3.6,$8.95,12385,es,Spain,Cava,Freixenet,/wineries/freixenet/wines/cordon-negro-cava-seleccion-8888,/wineries/freixenet/wines/cordon-negro-cava-seleccion-8888,background-image:url(//images.vivino.com/thumbs/TiCbj15nS8qf_1DBhamB1A_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Catena Malbec 2013,3.9,$16.99,12062,ar,Argentina,Mendoza,Catena Zapata,/wineries/catena-zapata/wines/catena-mendoza-malbec-2013,/wineries/catena-zapata/wines/catena-mendoza-malbec-2013,background-image:url(//images.vivino.com/thumbs/Jry0nMm9Rae0YgvN_yVdoA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Cabernet Sauvignon,4.2,$49.99,11929,us,United States,Napa Valley,Stags' Leap,/wineries/us-stags-leap-winery/wines/naoa-valley-cabernet-sauvignon-8888,/wineries/us-stags-leap-winery/wines/naoa-valley-cabernet-sauvignon-8888,background-image:url(//images.vivino.com/thumbs/-ZyQ5eQ_SsS0HXnO7-d-hw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Grande Cuvée Brut,4.6,$134.99,11850,fr,France,Champagne,Krug,/wineries/champagne-krug/wines/champagne-grande-cuve-brut-8888,/wineries/champagne-krug/wines/champagne-grande-cuve-brut-8888,background-image:url(//images.vivino.com/thumbs/K2ehukiPQ364VJlqWoxVIA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Rioja Reserva 2011,3.9,$18.99,11554,es,Spain,Rioja,Marqués de Riscal,/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011,/wineries/es-marques-de-riscal/wines/marques-de-riscal-rioja-reserva-2011,background-image:url(//images.vivino.com/thumbs/8tjGxbR1QyWxKAa4DN3GRw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Malbec 2015,3.6,$9.99,11243,ar,Argentina,Mendoza,Alamos,/wineries/alamos-winery/wines/malbec-2015,/wineries/alamos-winery/wines/malbec-2015,background-image:url(//images.vivino.com/thumbs/1i9e5mumRJ-sn9EwfPI7Rw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Grand Brut Champagne,4.1,$34.95,11238,fr,France,Champagne,Perrier-Jouët,/wineries/fr-perrier-jouet/wines/champagne-grand-brut-8888,/wineries/fr-perrier-jouet/wines/champagne-grand-brut-8888,background-image:url(//images.vivino.com/thumbs/uwkTEqsZRtKdWKInDwqmsw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Pinot Noir 2015,4.1,$23.99,10689,us,United States,California,Meiomi,/wineries/meiomi/wines/meiomi-pinot-noir-2015,/wineries/meiomi/wines/meiomi-pinot-noir-2015,background-image:url(//images.vivino.com/thumbs/uJJNtRmRT7qFkAotxbfhSw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Côtes de Provence Rosé,3.9,$17.95,10631,fr,France,Côtes de Provence,Miraval,/wineries/miraval/wines/cotes-de-provence-8888,/wineries/miraval/wines/cotes-de-provence-8888,background-image:url(//images.vivino.com/wineries/26164/vintages/001punmk6b5ol.png);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Impérial Brut Rosé,4.1,$39.99,10551,fr,France,Champagne,Moët &amp; Chandon,/wineries/moet-and-chandon/wines/brut-champagne-ros-imprial-8888,/wineries/moet-and-chandon/wines/brut-champagne-ros-imprial-8888,background-image:url(//images.vivino.com/wineries/7799/wines/000o1t85j1x0l_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
I Gran Reserva Rioja 2001,4,$28.99,9829,es,Spain,Rioja,Faustino,/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001,/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001,background-image:url(//images.vivino.com/thumbs/xnp6rrwCRgiuENX6fwlzHQ_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Prosecco,3.8,$11.97,9627,it,Italy,Veneto,La Marca,/wineries/la-marca/wines/prosecco-8888,/wineries/la-marca/wines/prosecco-8888,background-image:url(//images.vivino.com/thumbs/lgF5tZbzRTyK197zdFENKA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
The Original Rosé,3.4,$7.49,9482,pt,Portugal,Douro,Mateus,/wineries/mateus/wines/mateus-the-original-8888,/wineries/mateus/wines/mateus-the-original-8888,background-image:url(//images.vivino.com/thumbs/d4tBG7QlRyeZvReenDYMbw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Cava Gran Reserva Brut Nature Reserva de la Familia,3.9,$15.99,9393,es,Spain,Cava,Juvé &amp; Camps,/wineries/juve-y-camps/wines/brut-nature-gran-reserva-cava-8888,/wineries/juve-y-camps/wines/brut-nature-gran-reserva-cava-8888,background-image:url(//images.vivino.com/thumbs/x4dzx9GZS7mCVdAicbj2EA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Franciacorta Brut Cuvée Prestige,4,$37.99,8956,it,Italy,Franciacorta,Ca' del Bosco,/wineries/it-ca-del-bosco/wines/franciacorta-cuve-prestige-8888,/wineries/it-ca-del-bosco/wines/franciacorta-cuve-prestige-8888,background-image:url(//images.vivino.com/thumbs/W2y79J5nRce9WVL_c_gb5g_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut 2004,4.5,$139.95,8802,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2004,/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2004,background-image:url(//images.vivino.com/thumbs/J0ahYIj7RR--cw2YaMDJjA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Cabernet Sauvignon 2014,4.6,$69.95,8741,us,United States,Napa Valley,Caymus Vineyards,/wineries/caymus-vineyards/wines/napa-valley-cabernet-sauvignon-2014,/wineries/caymus-vineyards/wines/napa-valley-cabernet-sauvignon-2014,background-image:url(//images.vivino.com/thumbs/wEdd_2-xRwCgFgbEkOyLMg_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Villa Antinori Rosso Toscana 2013,3.8,$18.98,8711,it,Italy,Toscana,Marchesi Antinori,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013,background-image:url(//images.vivino.com/thumbs/2buRrfbrS3yby1YMr4QbBA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
The Prisoner 2014,4.4,$47.99,8695,us,United States,Napa Valley,The Prisoner Wine Company,/wineries/us-prisoner-wine-company/wines/the-prisoner-2014,/wineries/us-prisoner-wine-company/wines/the-prisoner-2014,background-image:url(//images.vivino.com/thumbs/uDVLUB5ARiyvKf_L0FAfXg_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut (Cordon Rouge),3.8,$37.99,8438,fr,France,Champagne,G.H. Mumm,/wineries/champagne-gh-mumm-and-cie/wines/champagne-brut-8888,/wineries/champagne-gh-mumm-and-cie/wines/champagne-brut-8888,background-image:url(//images.vivino.com/thumbs/zTBeCQ_sSMC1zDN8K2n24g_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut Cuvée Rosé,4.3,$68.98,8227,fr,France,Champagne,Laurent-Perrier,/wineries/domaine-laurent-perrier/wines/champagne-cuvee-ros-brut-8888,/wineries/domaine-laurent-perrier/wines/champagne-cuvee-ros-brut-8888,background-image:url(//images.vivino.com/thumbs/PRR6TVGRQIe6v7a68t49eQ_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut Royal,3.8,$29.99,8171,fr,France,Champagne,Pommery,/wineries/pommery/wines/2066028-champagne-8888,/wineries/pommery/wines/2066028-champagne-8888,background-image:url(//images.vivino.com/thumbs/0A6AtN-jQ_q_W1qqG0ZgTg_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Reserva Cabernet Sauvignon 2015,3.5,$12.50,7953,cl,Chile,Valle Central,Casillero del Diablo,/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015,/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015,background-image:url(//images.vivino.com/thumbs/mliQEhw-QUyLYEx4WBFy-Q_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Rosso Dolce,4.2,$11.99,7869,it,Italy,Provincia di Pavia,Roscato,/wineries/roscato/wines/3759925-rosso-dolce-sweet-red-8888,/wineries/roscato/wines/3759925-rosso-dolce-sweet-red-8888,background-image:url(//images.vivino.com/thumbs/1349796521_7660_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
White Blend,3.8,$22.99,7780,us,United States,California,Conundrum,/wineries/conundrum-wines/wines/california-proprietary-blend-white-8888,/wineries/conundrum-wines/wines/california-proprietary-blend-white-8888,background-image:url(//images.vivino.com/thumbs/cJh1pq_NS2qrMihKcq5-5A_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Tinto 2013,3.4,$9.99,7749,pt,Portugal,Douro,Porca de Murca,/wineries/porca-de-murca/wines/porca-de-mura-douro-tinto-2013,/wineries/porca-de-murca/wines/porca-de-mura-douro-tinto-2013,background-image:url(//images.vivino.com/thumbs/DAaUYPEZTUmkEhCNPogiFg_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
4 Meses Jumilla Red (Yellow Label) 2013,3.9,$15.99,7651,es,Spain,Jumilla,Juan Gil,/wineries/bodegas-juan-gil/wines/2659651-jumilla-red-2013,/wineries/bodegas-juan-gil/wines/2659651-jumilla-red-2013,background-image:url(//images.vivino.com/thumbs/AzfRGjkXTi6WqC33hcWvjg_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut (R de Ruinart),4.2,$71.14,7623,fr,France,Champagne,Ruinart,/wineries/champagne-ruinart/wines/champagne-reims-brut-8888,/wineries/champagne-ruinart/wines/champagne-reims-brut-8888,background-image:url(//images.vivino.com/thumbs/RBm-TgkxSjuKSwR5WbQy2g_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut Blanc de Blancs,4.3,$62.50,7613,fr,France,Champagne,Ruinart,/wineries/champagne-ruinart/wines/champagne-blanc-de-blancs-reims-brut-8888,/wineries/champagne-ruinart/wines/champagne-blanc-de-blancs-reims-brut-8888,background-image:url(//images.vivino.com/thumbs/wMtnua8CROqecoNAgNXOaA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Champagne Brut Rosé,4.6,$374.99,7551,fr,France,Champagne,Dom Pérignon,/wineries/dom-perignon/wines/rose-champagne-brut-vintage-8888,/wineries/dom-perignon/wines/rose-champagne-brut-vintage-8888,background-image:url(//images.vivino.com/thumbs/R_6epjilQF6t-a08m2X-ew_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Dark 2014,3.7,$9.99,7422,us,United States,California,Apothic,/wineries/apothic/wines/california-dark-limited-release-red-2014,/wineries/apothic/wines/california-dark-limited-release-red-2014,background-image:url(//images.vivino.com/thumbs/IWtLPwcvSRqbJUcK3QEdsQ_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Tempranillo Rioja 2014,3.6,$10.99,7381,es,Spain,Rioja,Campo Viejo,/wineries/campo-viejo/wines/rioja-tempranillo-2014,/wineries/campo-viejo/wines/rioja-tempranillo-2014,background-image:url(//images.vivino.com/thumbs/0fpABEl7SQ-xjZDPF37Bcw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Malbec 2013,3.9,$17.99,7333,ar,Argentina,Mendoza,Luigi Bosca,/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013,/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013,background-image:url(//images.vivino.com/thumbs/iwgA3x0eSN2X5KnfsZeZbw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Cabernet Sauvignon 2014,3.8,$14.99,7276,us,United States,California,Josh Cellars,/wineries/josh/wines/josh-cabernet-sauvignon-2014,/wineries/josh/wines/josh-cabernet-sauvignon-2014,background-image:url(//images.vivino.com/thumbs/xNZi5KTDSAeFC5XgAgjVQA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Brut Classic Champagne,4,$49.99,7047,fr,France,Champagne,Deutz,/wineries/deutz/wines/champagne-classic-brut-8888,/wineries/deutz/wines/champagne-classic-brut-8888,background-image:url(//images.vivino.com/thumbs/tXg7hsLOT3-fPwzLvql6Qg_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
Unico Reserva Especial,4.7,$399.52,7034,es,Spain,Ribera del Duero,Vega Sicilia,/wineries/es-vega-sicilia/wines/unico-reserva-especial-ribera-del-duero-8888,/wineries/es-vega-sicilia/wines/unico-reserva-especial-ribera-del-duero-8888,background-image:url(//images.vivino.com/thumbs/gVYqbYt8Rni4-QyrKOJ_Uw_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
White Zinfandel,3.6,$5.99,7033,us,United States,California,Beringer Vineyards,/wineries/beringer-vineyards/wines/california-white-zinfandel-8888,/wineries/beringer-vineyards/wines/california-white-zinfandel-8888,background-image:url(//images.vivino.com/thumbs/IfX0zXCiQj6XKVfYSU-vIQ_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
M Côtes de Provence Rosé,3.8,$19.99,6858,fr,France,Côtes de Provence,Château Minuty,/wineries/minuty/wines/ctes-de-provence-8888,/wineries/minuty/wines/ctes-de-provence-8888,background-image:url(//images.vivino.com/thumbs/Nqg_WTMMSy2vPvp5LGbDJA_150x200.jpg);,Thu Jul 06 2017 13:49:58 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmAgAK9Q0k
