qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
Red,,0,500,1,I Gran Reserva Rioja 2001,4,28.99,9829,es,Spain,Rioja,Faustino,/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001,/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2001,background-image:url(//images.vivino.com/thumbs/xnp6rrwCRgiuENX6fwlzHQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Cabernet Sauvignon 2014,4.6,69.95,8741,us,United States,Napa Valley,Caymus Vineyards,/wineries/caymus-vineyards/wines/napa-valley-cabernet-sauvignon-2014,/wineries/caymus-vineyards/wines/napa-valley-cabernet-sauvignon-2014,background-image:url(//images.vivino.com/thumbs/wEdd_2-xRwCgFgbEkOyLMg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Villa Antinori Rosso Toscana 2013,3.8,18.98,8711,it,Italy,Toscana,Marchesi Antinori,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013,/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2013,background-image:url(//images.vivino.com/thumbs/2buRrfbrS3yby1YMr4QbBA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,The Prisoner 2014,4.4,47.99,8695,us,United States,Napa Valley,The Prisoner Wine Company,/wineries/us-prisoner-wine-company/wines/the-prisoner-2014,/wineries/us-prisoner-wine-company/wines/the-prisoner-2014,background-image:url(//images.vivino.com/thumbs/uDVLUB5ARiyvKf_L0FAfXg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Reserva Cabernet Sauvignon 2015,3.5,12.5,7953,cl,Chile,Valle Central,Casillero del Diablo,/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015,/wineries/casillero-del-diablo/wines/casillero-del-diablo-cabernet-sauvignon-reserva-2015,background-image:url(//images.vivino.com/thumbs/mliQEhw-QUyLYEx4WBFy-Q_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Tinto 2013,3.4,9.99,7749,pt,Portugal,Douro,Porca de Murca,/wineries/porca-de-murca/wines/porca-de-mura-douro-tinto-2013,/wineries/porca-de-murca/wines/porca-de-mura-douro-tinto-2013,background-image:url(//images.vivino.com/thumbs/DAaUYPEZTUmkEhCNPogiFg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,4 Meses Jumilla Red (Yellow Label) 2013,3.9,15.99,7651,es,Spain,Jumilla,Juan Gil,/wineries/bodegas-juan-gil/wines/2659651-jumilla-red-2013,/wineries/bodegas-juan-gil/wines/2659651-jumilla-red-2013,background-image:url(//images.vivino.com/thumbs/AzfRGjkXTi6WqC33hcWvjg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Dark 2014,3.7,9.99,7422,us,United States,California,Apothic,/wineries/apothic/wines/california-dark-limited-release-red-2014,/wineries/apothic/wines/california-dark-limited-release-red-2014,background-image:url(//images.vivino.com/thumbs/IWtLPwcvSRqbJUcK3QEdsQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Tempranillo Rioja 2014,3.6,10.99,7381,es,Spain,Rioja,Campo Viejo,/wineries/campo-viejo/wines/rioja-tempranillo-2014,/wineries/campo-viejo/wines/rioja-tempranillo-2014,background-image:url(//images.vivino.com/thumbs/0fpABEl7SQ-xjZDPF37Bcw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Malbec 2013,3.9,17.99,7333,ar,Argentina,Mendoza,Luigi Bosca,/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013,/wineries/bodega-luigi-bosca/wines/vino-tinto-malbec-2013,background-image:url(//images.vivino.com/thumbs/iwgA3x0eSN2X5KnfsZeZbw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Cabernet Sauvignon 2014,3.8,14.99,7276,us,United States,California,Josh Cellars,/wineries/josh/wines/josh-cabernet-sauvignon-2014,/wineries/josh/wines/josh-cabernet-sauvignon-2014,background-image:url(//images.vivino.com/thumbs/xNZi5KTDSAeFC5XgAgjVQA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Unico Reserva Especial,4.7,399.52,7034,es,Spain,Ribera del Duero,Vega Sicilia,/wineries/es-vega-sicilia/wines/unico-reserva-especial-ribera-del-duero-8888,/wineries/es-vega-sicilia/wines/unico-reserva-especial-ribera-del-duero-8888,background-image:url(//images.vivino.com/thumbs/gVYqbYt8Rni4-QyrKOJ_Uw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Reserva Carmenère 2013,3.5,13.98,6846,cl,Chile,Valle Central,Casillero del Diablo,/wineries/casillero-del-diablo/wines/casillero-del-diablo-reserva-carmenere-2013,/wineries/casillero-del-diablo/wines/casillero-del-diablo-reserva-carmenere-2013,background-image:url(//images.vivino.com/thumbs/ifNQMOTKShW5FwLmFmBVDg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Costasera Amarone della Valpolicella Classico 2011,4.3,41.95,6618,it,Italy,Amarone della Valpolicella Classico,Masi,/wineries/it-masi/wines/masi-costasera-amarone-classico-2011,/wineries/it-masi/wines/masi-costasera-amarone-classico-2011,background-image:url(//images.vivino.com/thumbs/g0NrHmHeTcyCvbUvJmLkJg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Lambrusco Emilia,3.7,5.99,6570,it,Italy,Emilia,Riunite,/wineries/riunite/wines/emilia-lambrusco-8888,/wineries/riunite/wines/emilia-lambrusco-8888,background-image:url(//images.vivino.com/thumbs/KM7gwyp_Sgi_jJBKngMf3w_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Amarone della Valpolicella Classico 2012,4.3,73.99,6476,it,Italy,Amarone della Valpolicella Classico,Tommasi,/wineries/tommasi-viticoltori/wines/1667239-amarone-della-valpolicella-classico-2012,/wineries/tommasi-viticoltori/wines/1667239-amarone-della-valpolicella-classico-2012,background-image:url(//images.vivino.com/thumbs/cCpphkorQd-zQNm9kR1fmA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Cabernet Sauvignon,3.8,26.99,6423,us,United States,Napa Valley,Napa Cellars,/wineries/napa-cellars/wines/napa-valley-cabernet-sauvignon-8888,/wineries/napa-cellars/wines/napa-valley-cabernet-sauvignon-8888,background-image:url(//images.vivino.com/thumbs/ASvNCxSBQG6VSjeTd50iYA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Red Blend,3.8,14.99,6234,us,United States,Central Coast,Troublemaker,/wineries/hope-family/wines/2433567-troublemaker-8888,/wineries/hope-family/wines/2433567-troublemaker-8888,background-image:url(//images.vivino.com/thumbs/okF3FaKrSmaZk6Jqd-AsqA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Montepulciano d'Abruzzo dal Tralcetto 2013,3.8,14.98,6219,it,Italy,Montepulciano d'Abruzzo,Cantina Zaccagnini,/wineries/azienda-agricola-ciccio-zaccagnini-sas/wines/il-vino-dal-tralcetto-montepulciano-dabruzzo-dry-red-2013,/wineries/azienda-agricola-ciccio-zaccagnini-sas/wines/il-vino-dal-tralcetto-montepulciano-dabruzzo-dry-red-2013,background-image:url(//images.vivino.com/thumbs/MXf0abZuRc6zSiquqolsCA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Campofiorin 2012,3.7,14.99,6193,it,Italy,Rosso Veronese,Masi,/wineries/it-masi/wines/masi-campofiorin-2012,/wineries/it-masi/wines/masi-campofiorin-2012,background-image:url(//images.vivino.com/thumbs/LW_NP9fRTH6a5SWXFJ8YZw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Rioja Reserva 2010,3.9,16.97,6174,es,Spain,Rioja,Baron de Ley,/wineries/es-baron-de-ley/wines/1313231-reserva-rioja-2010,/wineries/es-baron-de-ley/wines/1313231-reserva-rioja-2010,background-image:url(//images.vivino.com/thumbs/ajja0ohLRVWR3I80giq9hA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Vineyards Malbec 2015,3.3,8.99,6172,ar,Argentina,Mendoza,Trapiche,/wineries/trapiche/wines/vineyards-malbec-2015,/wineries/trapiche/wines/vineyards-malbec-2015,background-image:url(//images.vivino.com/wineries/7931/vintages/008vvkjsfdt7n_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Reserva Malbec 2013,3.9,22.99,6105,ar,Argentina,Mendoza,Terrazas de los Andes,/wineries/ar-terrazas-de-los-andes/wines/2161874-mendoza-reserva-malbec-2013,/wineries/ar-terrazas-de-los-andes/wines/2161874-mendoza-reserva-malbec-2013,background-image:url(//images.vivino.com/thumbs/4WK6AAe9TlW__1X6uJgbQw_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,The Seven Deadly Zins Zinfandel 2013,3.9,15.99,6057,us,United States,Lodi,Michael David,/wineries/michael-david-vineyards/wines/7-deadly-zins-zinfandel-2013,/wineries/michael-david-vineyards/wines/7-deadly-zins-zinfandel-2013,background-image:url(//images.vivino.com/thumbs/uajcyeMmQGK2L9otU1AScA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Guado al Tasso Il Bruciato Bolgheri 2013,4,24.97,5974,it,Italy,Bolgheri,Marchesi Antinori,/wineries/antinori-wine-estates/wines/guado-al-tasso-bolgheri-il-bruciato-2013,/wineries/antinori-wine-estates/wines/guado-al-tasso-bolgheri-il-bruciato-2013,background-image:url(//images.vivino.com/thumbs/-LHLK6plT1O5EsnAuicnCQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Barrua,4.1,59.99,5895,it,Italy,Isola dei Nuraghi,Punica,/wineries/agricola-punica-spa/wines/barrua-8888,/wineries/agricola-punica-spa/wines/barrua-8888,background-image:url(//images.vivino.com/thumbs/KkfdjBsbSXqQkv7aJpdDDQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Costasera Amarone della Valpolicella Classico 2010,4.3,59.99,5628,it,Italy,Amarone della Valpolicella Classico,Masi,/wineries/it-masi/wines/costasera-amarone-classico-2010,/wineries/it-masi/wines/costasera-amarone-classico-2010,background-image:url(//images.vivino.com/thumbs/YiUh8J7rSWaIfNFNqaJ5zA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Ribera del Duero 2011,4.4,79.99,5567,es,Spain,Ribera del Duero,Alión,/wineries/alion/wines/ribera-del-duero-2011,/wineries/alion/wines/ribera-del-duero-2011,background-image:url(//images.vivino.com/thumbs/Z9FBVdy8S2uqtnexQlDYEA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,The Prisoner 2015,4.3,39.98,5513,us,United States,Napa Valley,The Prisoner Wine Company,/wineries/us-prisoner-wine-company/wines/prisoner-2015,/wineries/us-prisoner-wine-company/wines/prisoner-2015,background-image:url(//images.vivino.com/thumbs/wAIkVU4rRzimQvXy6zmhRQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Viña Ardanza Reserva 2007,4.2,29.98,5397,es,Spain,Rioja,La Rioja Alta,/wineries/la-rioja-alta/wines/reserva-ardanza-2007,/wineries/la-rioja-alta/wines/reserva-ardanza-2007,background-image:url(//images.vivino.com/thumbs/NV56e_ltQxmGb9Ce9gj0ug_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Reserve Malbec 2015,3.5,10.99,5372,ar,Argentina,Mendoza,Trivento,/wineries/trivento-bodegas-y-vinedos-sa/wines/reserve-malbec-2015,/wineries/trivento-bodegas-y-vinedos-sa/wines/reserve-malbec-2015,background-image:url(//images.vivino.com/thumbs/EB2UTRvOSkyzSnyC56egtA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Seven Oaks Cabernet Sauvignon 2014,4,16.99,5371,us,United States,Paso Robles,J. Lohr Vineyards &amp; Wines,/wineries/j-lohr-vineyards-and-winery/wines/seven-oaks-paso-robles-cabernet-sauvignon-2014,/wineries/j-lohr-vineyards-and-winery/wines/seven-oaks-paso-robles-cabernet-sauvignon-2014,background-image:url(//images.vivino.com/thumbs/vjloM5RES2-fgep64X4ahg_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Cabernet Sauvignon 2009,4.5,115.99,5312,cl,Chile,Puente Alto,Don Melchor,/wineries/don-melchor/wines/1364688-don-melchor-cabernet-sauvignon-2009,/wineries/don-melchor/wines/1364688-don-melchor-cabernet-sauvignon-2009,background-image:url(//images.vivino.com/thumbs/Ddg_07vfTO6JxaFFZTMr9A_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Chianti 2014,3.4,9.99,5312,it,Italy,Chianti,Ruffino,/wineries/ruffino/wines/3977918-chianti-2014,/wineries/ruffino/wines/3977918-chianti-2014,background-image:url(//images.vivino.com/thumbs/DCxjEkK8SxiZM0JDv4RP7Q_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Rioja Crianza 2011,3.5,12.99,5264,es,Spain,Rioja,Marqués de Cáceres,/wineries/marques-de-caceres/wines/1329254-rioja-crianza-2011,/wineries/marques-de-caceres/wines/1329254-rioja-crianza-2011,background-image:url(//images.vivino.com/thumbs/62R1wflQQeukUwmx1TJuEQ_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Côtes-du-Rhône 2012,3.6,13.98,5191,fr,France,Côtes-du-Rhône,E. Guigal,/wineries/e-guigal/wines/1376999-ctes-du-rhne-2012,/wineries/e-guigal/wines/1376999-ctes-du-rhne-2012,background-image:url(//images.vivino.com/thumbs/kirVSch3R3ikYJXrK4J4XA_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
Red,,0,500,1,Catena Malbec 2014,3.9,16.99,5159,ar,Argentina,Mendoza,Catena Zapata,/wineries/catena-zapata/wines/catena-mendoza-malbec-2014,/wineries/catena-zapata/wines/catena-mendoza-malbec-2014,background-image:url(//images.vivino.com/thumbs/wHmYo4dLSUe7FVNhhsgu9Q_150x200.jpg);,Thu Jul 06 2017 21:16:55 GMT-0700 (PDT),https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgIAcDcPWw==
