qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,photo,pagetime,pageurl
"Sparkling","","10","40","3.5","Champagne Impérial Brut Rosé","4.1","39.99","10551","fr","France","Champagne","Moët &amp; Chandon","/wineries/moet-and-chandon/wines/brut-champagne-ros-imprial-8888","/wineries/moet-and-chandon/wines/brut-champagne-ros-imprial-8888","background-image:url(//images.vivino.com/wineries/7799/wines/000o1t85j1x0l_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Prosecco","3.8","11.97","9627","it","Italy","Veneto","La Marca","/wineries/la-marca/wines/prosecco-8888","/wineries/la-marca/wines/prosecco-8888","background-image:url(//images.vivino.com/thumbs/lgF5tZbzRTyK197zdFENKA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Cava Gran Reserva Brut Nature Reserva de la Familia","3.9","15.99","9393","es","Spain","Cava","Juvé &amp; Camps","/wineries/juve-y-camps/wines/brut-nature-gran-reserva-cava-8888","/wineries/juve-y-camps/wines/brut-nature-gran-reserva-cava-8888","background-image:url(//images.vivino.com/thumbs/x4dzx9GZS7mCVdAicbj2EA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Franciacorta Brut Cuvée Prestige","4.0","37.99","8956","it","Italy","Franciacorta","Ca' del Bosco","/wineries/it-ca-del-bosco/wines/franciacorta-cuve-prestige-8888","/wineries/it-ca-del-bosco/wines/franciacorta-cuve-prestige-8888","background-image:url(//images.vivino.com/thumbs/W2y79J5nRce9WVL_c_gb5g_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut 2004","4.5","139.95","8802","fr","France","Champagne","Dom Pérignon","/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2004","/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2004","background-image:url(//images.vivino.com/thumbs/J0ahYIj7RR--cw2YaMDJjA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Réserve","4.2","46.99","8448","fr","France","Champagne","Pol Roger","/wineries/pol-roger/wines/epernay-champagne-brut-reserve-8888","/wineries/pol-roger/wines/epernay-champagne-brut-reserve-8888","background-image:url(//images.vivino.com/thumbs/1FSiLFApSJyAHq7TD3tLVA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut (Cordon Rouge)","3.8","37.99","8438","fr","France","Champagne","G.H. Mumm","/wineries/champagne-gh-mumm-and-cie/wines/champagne-brut-8888","/wineries/champagne-gh-mumm-and-cie/wines/champagne-brut-8888","background-image:url(//images.vivino.com/thumbs/zTBeCQ_sSMC1zDN8K2n24g_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Cuvée Rosé","4.3","68.98","8227","fr","France","Champagne","Laurent-Perrier","/wineries/domaine-laurent-perrier/wines/champagne-cuvee-ros-brut-8888","/wineries/domaine-laurent-perrier/wines/champagne-cuvee-ros-brut-8888","background-image:url(//images.vivino.com/thumbs/PRR6TVGRQIe6v7a68t49eQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Royal","3.8","29.99","8171","fr","France","Champagne","Pommery","/wineries/pommery/wines/2066028-champagne-8888","/wineries/pommery/wines/2066028-champagne-8888","background-image:url(//images.vivino.com/thumbs/0A6AtN-jQ_q_W1qqG0ZgTg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut (R de Ruinart)","4.2","71.14","7623","fr","France","Champagne","Ruinart","/wineries/champagne-ruinart/wines/champagne-reims-brut-8888","/wineries/champagne-ruinart/wines/champagne-reims-brut-8888","background-image:url(//images.vivino.com/thumbs/RBm-TgkxSjuKSwR5WbQy2g_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Blanc de Blancs","4.3","62.50","7613","fr","France","Champagne","Ruinart","/wineries/champagne-ruinart/wines/champagne-blanc-de-blancs-reims-brut-8888","/wineries/champagne-ruinart/wines/champagne-blanc-de-blancs-reims-brut-8888","background-image:url(//images.vivino.com/thumbs/wMtnua8CROqecoNAgNXOaA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Rosé","4.6","374.99","7551","fr","France","Champagne","Dom Pérignon","/wineries/dom-perignon/wines/rose-champagne-brut-vintage-8888","/wineries/dom-perignon/wines/rose-champagne-brut-vintage-8888","background-image:url(//images.vivino.com/thumbs/R_6epjilQF6t-a08m2X-ew_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Brut Classic Champagne","4.0","49.99","7047","fr","France","Champagne","Deutz","/wineries/deutz/wines/champagne-classic-brut-8888","/wineries/deutz/wines/champagne-classic-brut-8888","background-image:url(//images.vivino.com/thumbs/tXg7hsLOT3-fPwzLvql6Qg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut 2006","4.5","138.94","6841","fr","France","Champagne","Dom Pérignon","/wineries/dom-perignon/wines/vintage-2006","/wineries/dom-perignon/wines/vintage-2006","background-image:url(//images.vivino.com/thumbs/w9Cjk8fNTB2-RNZo0QGOMQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Réserve","4.1","44.98","6806","fr","France","Champagne","Billecart-Salmon","/wineries/champagne-billecart-salmon/wines/brut-rserve-8888","/wineries/champagne-billecart-salmon/wines/brut-rserve-8888","background-image:url(//images.vivino.com/thumbs/dZoAkOb8T9u6T_yvldZ_qg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Cava Carta Nevada Brut","3.6","9.99","6798","es","Spain","Cava","Freixenet","/wineries/freixenet/wines/cava-carta-nevada-8888","/wineries/freixenet/wines/cava-carta-nevada-8888","background-image:url(//images.vivino.com/thumbs/Yb-qwimvRi66h1-3imYfaQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Rosé","4.4","73.98","6650","fr","France","Champagne","Billecart-Salmon","/wineries/champagne-billecart-salmon/wines/champagne-brut-ros-8888","/wineries/champagne-billecart-salmon/wines/champagne-brut-ros-8888","background-image:url(//images.vivino.com/thumbs/aCnqieGjSSO8nvCXYcuySA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut","3.9","34.97","6604","fr","France","Champagne","Piper-Heidsieck","/wineries/piper-heidsieck-champagne/wines/2078233-champagne-brut-8888","/wineries/piper-heidsieck-champagne/wines/2078233-champagne-brut-8888","background-image:url(//images.vivino.com/wineries/2049/wines/000ock64k6m28.png);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Brut","3.7","19.99","6507","it","Italy","Trento","Ferrari","/wineries/ferrari/wines/trentodoc-metodo-classico-brut-8888","/wineries/ferrari/wines/trentodoc-metodo-classico-brut-8888","background-image:url(//images.vivino.com/thumbs/jSdkLCB_TySyT0mUsjjkzg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut 2003","4.6","159.95","6464","fr","France","Champagne","Dom Pérignon","/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2003","/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-2003","background-image:url(//images.vivino.com/thumbs/yTkdKK-2RI2IM9R_r-onXw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Rosé","4.3","59.95","6154","fr","France","Champagne","Veuve Clicquot","/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-ros-8888","/wineries/veuve-clicquot/wines/ponsardin-champagne-brut-ros-8888","background-image:url(//images.vivino.com/thumbs/XcUSUctSTYKnmaipW2H8zw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne La Grande Dame Brut","4.5","178.99","6093","fr","France","Champagne","Veuve Clicquot","/wineries/veuve-clicquot/wines/ponsardin-la-grande-dame-champagne-brut-8888","/wineries/veuve-clicquot/wines/ponsardin-la-grande-dame-champagne-brut-8888","background-image:url(//images.vivino.com/thumbs/SO-RmNCUQ624NBW4mc_fsg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Black Label Champagne Brut","3.8","39.99","5675","fr","France","Champagne","Lanson","/wineries/champagne-lanson/wines/champagne-black-label-brut-8888","/wineries/champagne-lanson/wines/champagne-black-label-brut-8888","background-image:url(//images.vivino.com/thumbs/1342549143_6173_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut 2002","4.6","241","5507","fr","France","Champagne","Dom Pérignon","/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-dom-2002","/wineries/dom-perignon/wines/mot-and-chandon-champagne-cuve-dom-2002","background-image:url(//images.vivino.com/thumbs/Dk6oNilrQaahsVGD_MO8sg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Ice Impérial","4.2","54.94","5390","fr","France","Champagne","Moët &amp; Chandon","/wineries/moet-and-chandon/wines/2109856-champagne-ice-imprial-8888","/wineries/moet-and-chandon/wines/2109856-champagne-ice-imprial-8888","background-image:url(//images.vivino.com/wineries/7799/wines/000ow10qutdzp_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Prosecco","3.5","16.99","4902","it","Italy","Veneto","Zonin","/wineries/it-zonin/wines/frizzanti-prosecco-8888","/wineries/it-zonin/wines/frizzanti-prosecco-8888","background-image:url(//images.vivino.com/thumbs/uZzW3ORORf2e6Q5iZwrdng_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Rosé","4.3","70.06","4815","fr","France","Champagne","Ruinart","/wineries/champagne-ruinart/wines/champagne-brut-ros-8888","/wineries/champagne-ruinart/wines/champagne-brut-ros-8888","background-image:url(//images.vivino.com/thumbs/qNaaRdloQau-qOuylhoMbw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Moscato d'Asti","4.1","14.99","4761","it","Italy","Moscato d'Asti","Saracco","/wineries/saracco-paolo/wines/moscato-dasti-8888","/wineries/saracco-paolo/wines/moscato-dasti-8888","background-image:url(//images.vivino.com/thumbs/gIKs9IMaQcyrTbzX8pfOfw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut Réserve","4.1","39.49","4686","fr","France","Champagne","Charles Heidsieck","/wineries/charles-heidsieck/wines/champagne-brut-rserve-8888","/wineries/charles-heidsieck/wines/champagne-brut-rserve-8888","background-image:url(//images.vivino.com/thumbs/Ou_V1RNqR2OHitLHkcuhxQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Stella Rosso","4.1","9.99","4448","it","Italy","Piemonte","Stella Rosa","/wineries/stella-rosa/wines/stella-rosa-semi-sweet-rosso-8888-1","/wineries/stella-rosa/wines/stella-rosa-semi-sweet-rosso-8888-1","background-image:url(//images.vivino.com/thumbs/cqM4nMrBRIuV8D1TP7iiDQ_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Moscato d'Asti","4.2","7.99","4126","it","Italy","Moscato d'Asti","Cupcake Vineyards","/wineries/cupcake/wines/moscato-dasti-8888","/wineries/cupcake/wines/moscato-dasti-8888","background-image:url(//images.vivino.com/thumbs/crF-VyrZRoeeyyf1SK3oqw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Cristalino Cava Brut","3.4","6.99","4097","es","Spain","Cava","Jaume Serra","/wineries/jaume-serra/wines/cristalino-brut-cava-8888","/wineries/jaume-serra/wines/cristalino-brut-cava-8888","background-image:url(//images.vivino.com/thumbs/yCfyBsPsRx6doexP65AoUA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Brut","4.2","44.14","4007","fr","France","Champagne","Pol Roger","/wineries/pol-roger/wines/champagne-extra-cuve-de-rserve-brut-8888","/wineries/pol-roger/wines/champagne-extra-cuve-de-rserve-brut-8888","background-image:url(//images.vivino.com/thumbs/01kd0zrjihgzw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Moscato d'Asti","4.3","13.99","3956","it","Italy","Moscato d'Asti","Castello del Poggio","/wineries/it-castello-del-poggio/wines/provincia-di-pavia-moscato-8888","/wineries/it-castello-del-poggio/wines/provincia-di-pavia-moscato-8888","background-image:url(//images.vivino.com/thumbs/4AaGBaVKRgGW07WLTlM8dw_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Champagne Réserve Brut","3.8","38.99","3950","fr","France","Champagne","Nicolas Feuillatte","/wineries/nicolas-feuillatte/wines/champagne-chouilly-brut-rserve-8888","/wineries/nicolas-feuillatte/wines/champagne-chouilly-brut-rserve-8888","background-image:url(//images.vivino.com/thumbs/nQfLXikLSoSG37vdH7TdZA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Blason Rosé Brut Champagne","4.2","64.95","3915","fr","France","Champagne","Perrier-Jouët","/wineries/fr-perrier-jouet/wines/champagne-epernay-blason-ros-brut-8888","/wineries/fr-perrier-jouet/wines/champagne-epernay-blason-ros-brut-8888","background-image:url(//images.vivino.com/thumbs/jXkkObtzRP-LZX-i5cpbqA_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
"Sparkling","","10","40","3.5","Anna Cava Brut","3.4","10.95","3915","es","Spain","Cava","Codorníu","/wineries/codorniu/wines/2104760-anna-de-codorniu-8888","/wineries/codorniu/wines/2104760-anna-de-codorniu-8888","background-image:url(//images.vivino.com/thumbs/sq81ONZCSUGu_D0BBWXVYg_150x200.jpg);","Thu Jul 06 2017 19:08:39 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI1VMvNzLM1UMtNrLA1NTBQS660LS1WKwCKF9smJ6qVJduWFJWmqpWXRMfaGgMAcDkPXQ==",
