qWineTypes,qFoodpairings,qPriceMin,qPriceMax,qMinRating,title,rating,price,reviewcount,countryCode,country,region,winery,winerylink,link,img,pagetime,pageurl
"Red","Poultry","10","40","3.5","Cabernet Sauvignon 2014","3.8","$14.99","7276","us","United States","California","Josh Cellars","/wineries/josh/wines/josh-cabernet-sauvignon-2014","/wineries/josh/wines/josh-cabernet-sauvignon-2014","//images.vivino.com/thumbs/xNZi5KTDSAeFC5XgAgjVQA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Reserva Carmenère 2013","3.5","$13.98","6846","cl","Chile","Valle Central","Casillero del Diablo","/wineries/casillero-del-diablo/wines/casillero-del-diablo-reserva-carmenere-2013","/wineries/casillero-del-diablo/wines/casillero-del-diablo-reserva-carmenere-2013","//images.vivino.com/thumbs/ifNQMOTKShW5FwLmFmBVDg_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Villa Antinori Rosso Toscana 2011","3.8","$16.97","6788","it","Italy","Toscana","Marchesi Antinori","/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2011","/wineries/antinori-wine-estates/wines/villa-antinori-toscana-2011","//images.vivino.com/thumbs/hXkG5ITOSKyJvj0DmAvjhg_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Cabernet Sauvignon","3.8","$26.99","6423","us","United States","Napa Valley","Napa Cellars","/wineries/napa-cellars/wines/napa-valley-cabernet-sauvignon-8888","/wineries/napa-cellars/wines/napa-valley-cabernet-sauvignon-8888","//images.vivino.com/thumbs/ASvNCxSBQG6VSjeTd50iYA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Red Blend","3.8","$14.99","6234","us","United States","Central Coast","Troublemaker","/wineries/hope-family/wines/2433567-troublemaker-8888","/wineries/hope-family/wines/2433567-troublemaker-8888","//images.vivino.com/thumbs/okF3FaKrSmaZk6Jqd-AsqA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Rioja Reserva 2010","3.9","$16.97","6174","es","Spain","Rioja","Baron de Ley","/wineries/es-baron-de-ley/wines/1313231-reserva-rioja-2010","/wineries/es-baron-de-ley/wines/1313231-reserva-rioja-2010","//images.vivino.com/thumbs/ajja0ohLRVWR3I80giq9hA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Reserva Malbec 2013","3.9","$22.99","6105","ar","Argentina","Mendoza","Terrazas de los Andes","/wineries/ar-terrazas-de-los-andes/wines/2161874-mendoza-reserva-malbec-2013","/wineries/ar-terrazas-de-los-andes/wines/2161874-mendoza-reserva-malbec-2013","//images.vivino.com/thumbs/4WK6AAe9TlW__1X6uJgbQw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","The Seven Deadly Zins Zinfandel 2013","3.9","$15.99","6057","us","United States","Lodi","Michael David","/wineries/michael-david-vineyards/wines/7-deadly-zins-zinfandel-2013","/wineries/michael-david-vineyards/wines/7-deadly-zins-zinfandel-2013","//images.vivino.com/thumbs/uajcyeMmQGK2L9otU1AScA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","The Prisoner 2015","4.3","$39.98","5513","us","United States","Napa Valley","The Prisoner Wine Company","/wineries/us-prisoner-wine-company/wines/prisoner-2015","/wineries/us-prisoner-wine-company/wines/prisoner-2015","//images.vivino.com/thumbs/wAIkVU4rRzimQvXy6zmhRQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Viña Ardanza Reserva 2007","4.2","$29.98","5397","es","Spain","Rioja","La Rioja Alta","/wineries/la-rioja-alta/wines/reserva-ardanza-2007","/wineries/la-rioja-alta/wines/reserva-ardanza-2007","//images.vivino.com/thumbs/NV56e_ltQxmGb9Ce9gj0ug_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Reserve Malbec 2015","3.5","$10.99","5372","ar","Argentina","Mendoza","Trivento","/wineries/trivento-bodegas-y-vinedos-sa/wines/reserve-malbec-2015","/wineries/trivento-bodegas-y-vinedos-sa/wines/reserve-malbec-2015","//images.vivino.com/thumbs/EB2UTRvOSkyzSnyC56egtA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Seven Oaks Cabernet Sauvignon 2014","4.0","$16.99","5371","us","United States","Paso Robles","J. Lohr Vineyards &amp; Wines","/wineries/j-lohr-vineyards-and-winery/wines/seven-oaks-paso-robles-cabernet-sauvignon-2014","/wineries/j-lohr-vineyards-and-winery/wines/seven-oaks-paso-robles-cabernet-sauvignon-2014","//images.vivino.com/thumbs/vjloM5RES2-fgep64X4ahg_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Rioja Crianza 2011","3.5","$12.99","5264","es","Spain","Rioja","Marqués de Cáceres","/wineries/marques-de-caceres/wines/1329254-rioja-crianza-2011","/wineries/marques-de-caceres/wines/1329254-rioja-crianza-2011","//images.vivino.com/thumbs/62R1wflQQeukUwmx1TJuEQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Catena Malbec 2014","3.9","$16.99","5159","ar","Argentina","Mendoza","Catena Zapata","/wineries/catena-zapata/wines/catena-mendoza-malbec-2014","/wineries/catena-zapata/wines/catena-mendoza-malbec-2014","//images.vivino.com/thumbs/wHmYo4dLSUe7FVNhhsgu9Q_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","I Gran Reserva Rioja 2004","3.9","$33.34","5021","es","Spain","Rioja","Faustino","/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2004","/wineries/bodegas-faustino/wines/faustino-i-gran-reserva-2004","//images.vivino.com/thumbs/Uf8qAMuXT3OhZK0FGq8FBQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Toscana 2014","3.5","$10.99","4973","it","Italy","Toscana","Santa Cristina","/wineries/santa-cristina/wines/4065161-toscana-2014","/wineries/santa-cristina/wines/4065161-toscana-2014","//images.vivino.com/thumbs/IOnj1JTZTQ69KjP1Gpw-Jg_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Clos de Los Siete by Michel Rolland 2013","4.0","$17.98","4959","ar","Argentina","Mendoza","Clos de los Siete","/wineries/clos-de-los-siete/wines/michel-rolland-2013","/wineries/clos-de-los-siete/wines/michel-rolland-2013","//images.vivino.com/thumbs/FuqBpKGJSmuJMc2gSVWJuw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","E Spain","3.9","$16.99","4813","es","Spain","Vino de Espagna","Locations","/wineries/locations/wines/locations-e-spain-8888","/wineries/locations/wines/locations-e-spain-8888","//images.vivino.com/thumbs/hp9-tSgiQOqUTqHXEy2f-Q_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Gran Reserva Cabernet Sauvignon 2013","3.7","$14.24","4770","cl","Chile","Valle del Maipo","Tarapaca","/wineries/tarapaca-ex-zavala/wines/2259798-gran-reserva-cabernet-sauvignon-2013","/wineries/tarapaca-ex-zavala/wines/2259798-gran-reserva-cabernet-sauvignon-2013","//images.vivino.com/thumbs/Op4gCWVyTUSw2FC0UoTDLw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Sonoma County Cabernet Sauvignon 2014","3.9","$19.99","4767","us","United States","Sonoma County","Decoy","/wineries/decoy/wines/decoy-napa-valley-cabernet-sauvignon-2014","/wineries/decoy/wines/decoy-napa-valley-cabernet-sauvignon-2014","//images.vivino.com/thumbs/NGAbF_7tTXmQvXZWcUlK8A_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Rioja Crianza 2012","3.6","$11.99","4671","es","Spain","Rioja","Marqués de Cáceres","/wineries/marques-de-caceres/wines/rioja-crianza-2012","/wineries/marques-de-caceres/wines/rioja-crianza-2012","//images.vivino.com/thumbs/7vd2sjK0R5qo9aeFBhERQQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Rioja Reserva 2007","4.0","$23","4548","es","Spain","Rioja","Marqués de Murrieta","/wineries/marques-de-murrieta/wines/finca-ygay-reserva-rioja-2007","/wineries/marques-de-murrieta/wines/finca-ygay-reserva-rioja-2007","//images.vivino.com/wineries/1864/vintages/000sn10mqaliz_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Rioja Reserva 2010","3.7","$15.99","4530","es","Spain","Rioja","Campo Viejo","/wineries/campo-viejo/wines/reserva-rioja-2010","/wineries/campo-viejo/wines/reserva-rioja-2010","//images.vivino.com/thumbs/MArbWeuUQfWyjHtW3p3Jog_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Clos de Los Siete by Michel Rolland 2011","3.8","$16.99","4496","ar","Argentina","Mendoza","Clos de los Siete","/wineries/clos-de-los-siete/wines/michel-rolland-2011","/wineries/clos-de-los-siete/wines/michel-rolland-2011","//images.vivino.com/thumbs/oWyDkqWKRKO2Ft72U4E06w_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Selección Especial Rioja Reserva 2010","4.1","$36.99","4495","es","Spain","Rioja","Bodegas Muga","/wineries/muga-winery/wines/seleccin-especial-rioja-2010","/wineries/muga-winery/wines/seleccin-especial-rioja-2010","//images.vivino.com/thumbs/F_UPhZtfRuSHAsIJMzyh6w_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","815 Cabernet Sauvignon 2012","3.8","$13.99","4449","us","United States","California","Joel Gott","/wineries/joel-gott-wines/wines/california-815-cabernet-sauvignon-2012","/wineries/joel-gott-wines/wines/california-815-cabernet-sauvignon-2012","//images.vivino.com/thumbs/sDUw4DETSDq1mKeDZaQBWQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","815 Cabernet Sauvignon 2014","3.8","$14.99","4392","us","United States","California","Joel Gott","/wineries/joel-gott-wines/wines/california-815-cabernet-sauvignon-2014","/wineries/joel-gott-wines/wines/california-815-cabernet-sauvignon-2014","//images.vivino.com/thumbs/AvtyjWlOSzWtqgBRLDzi5A_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","M Blend 2013","4.2","$19.99","4372","ar","Argentina","Mendoza","Alma Negra","/wineries/alma-negra/wines/alma-negra-2013","/wineries/alma-negra/wines/alma-negra-2013","//images.vivino.com/thumbs/E5Ep7CakStuztVo475DcDw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Altos del Plata Malbec 2014","3.5","$12.98","4351","ar","Argentina","Mendoza","Terrazas de los Andes","/wineries/ar-terrazas-de-los-andes/wines/altos-del-plata-malbec-2014","/wineries/ar-terrazas-de-los-andes/wines/altos-del-plata-malbec-2014","//images.vivino.com/thumbs/7jbe-OX7SD6S8wf3NRydeQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Cabernet Sauvignon 2014","4.1","$23.99","4338","us","United States","Paso Robles","Justin","/wineries/us-justin/wines/3993728-cabernet-sauvignon-2014","/wineries/us-justin/wines/3993728-cabernet-sauvignon-2014","//images.vivino.com/thumbs/ZASK3XVLRtm_DsBno4Gx6g_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Chianti Rùfina Riserva 2012","3.6","$17.97","4310","it","Italy","Chianti Rùfina","Castello di Nipozzano","/wineries/castello-di-nipozzano/wines/riserva-nipozzano-chianti-rufina-2012","/wineries/castello-di-nipozzano/wines/riserva-nipozzano-chianti-rufina-2012","//images.vivino.com/thumbs/GyeZjK4aQVukAYg9qBrGrw_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Diamond Collection Ivory Label Cabernet Sauvignon 2014","3.9","$16.99","4142","us","United States","Napa Valley","Francis Ford Coppola","/wineries/francis-ford-coppola/wines/diamond-collection-ivory-label-cabernet-sauvignon-2014","/wineries/francis-ford-coppola/wines/diamond-collection-ivory-label-cabernet-sauvignon-2014","//images.vivino.com/thumbs/rYQjtDNsSAua2LWyeV-fFA_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Crianza Rioja 2013","3.6","$12.97","4117","es","Spain","Rioja","Altos Ibéricos","/wineries/soto-de-torres/wines/altos-ibricos-crianza-2013","/wineries/soto-de-torres/wines/altos-ibricos-crianza-2013","//images.vivino.com/thumbs/wilK3sUwQs-sWRZKIyfZwQ_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Diamond Collection Black Label Claret Cabernet Sauvignon 2014","4.0","$17.99","4114","us","United States","Napa Valley","Francis Ford Coppola","/wineries/francis-ford-coppola/wines/diamond-collection-black-label-claret-cabernet-sauvignon-2014","/wineries/francis-ford-coppola/wines/diamond-collection-black-label-claret-cabernet-sauvignon-2014","//images.vivino.com/thumbs/QcL7p1yUTpaRfqMQRR123w_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
"Red","Poultry","10","40","3.5","Riserva Ducale Chianti Classico 2012","3.8","$24.99","4038","it","Italy","Chianti Classico","Ruffino","/wineries/ruffino/wines/riserva-ducale-chianti-classico-2012","/wineries/ruffino/wines/riserva-ducale-chianti-classico-2012","//images.vivino.com/thumbs/OrOngGwQRr2eGK5Mne0KUg_150x200.jpg","Thu Jul 06 2017 13:49:58 GMT-0700 (PDT)","https://www.vivino.com/explore?e=eJzLLbI11jNVy83MszU0UMtNrLA1MVBLrrQtLVYrsDVUK7ZNTlQrS7YtKSpNVSsviY4FiqUBSSMDAPpDEaM="
